"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,,,,,,
"World Fertility Data 2012
AGE-SPECIFIC FERTILITY RATES, TOTAL FERTILITY AND MEAN AGE AT CHILDBEARING
Republic of Moldova,498,Around 1985,1987,,2.62,49,200,149,79,41,6,1,26.4,Registration,UNSD,,,,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Republic of Moldova,498,Around 1995,1995,,1.75,61,142,90,40,14,3,0,24.8,Registration,UNSD,,,,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Republic of Moldova,498,Around 2005,2005,,1.22,29,87,71,38,16,2,0,26.1,Registration,National statistics,,,,,,
Republic of Moldova,498,Latest,2010,,1.35,26,84,84,52,21,4,0,26.9,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Réunion,638,Around 1970,1970,,4.40,62,239,217,171,125,59,8,29.0,Registration,UNSD,,,,,,
Réunion,638,Around 1985,1985,,2.72,60,149,146,107,60,20,3,27.8,Registration,UNSD,,,,,,
Réunion,638,Around 1995,1995,,2.24,40,110,132,96,55,16,1,28.3,Registration,UNSD,,,,,,
Réunion,638,Around 2005,2005,,2.45,37,97,142,126,66,21,1,29.1,Registration,National statistics,,,,,,
Réunion,638,Latest,2007,,2.41,43,98,134,127,62,17,1,28.8,Registration,UNSD,,,,Excluding live-born infants who died before their birth was registered.,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Romania,642,Around 1970,1970,,2.89,66,201,152,95,49,14,1,26.7,Registration,UNSD,,,,,,
Romania,642,Around 1985,1985,,2.26,57,191,121,55,21,5,0,25.4,Registration,UNSD,,,,,,
Romania,642,Around 1995,1995,,1.34,42,110,73,29,11,3,0,25.0,Registration,UNSD,,,,,,
Romania,642,Around 2005,2005,,1.32,34,73,84,52,19,4,0,26.7,Registration,UNSD,,,,,,
Romania,642,Latest,2010,,1.33,37,63,81,57,23,5,0,27.1,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Russian Federation,643,Around 1970,1970,,2.01,30,153,110,68,32,8,1,26.9,Registration,Eurostat,,,,,,
Russian Federation,643,Around 1985,1985,,2.05,47,164,112,60,23,4,0,25.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Russian Federation,643,Around 1995,1995,,1.33,44,113,67,30,11,2,0,24.8,Registration,UNSD,,,,,,
Russian Federation,643,Around 2005,2005,,1.29,28,87,78,46,18,3,0,26.5,Registration,National statistics,,,,,,
Russian Federation,643,Latest,2010,,1.57,28,87,95,67,30,6,0,27.5,Registration,UNSD,,,,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Rwanda,646,Around 1970,1969,,7.66,47,336,383,349,252,118,47,30.6,Survey,National statistics,Rwanda 1970 Enquête démographique,,,,,
Rwanda,646,Around 1985,1982,1980-1983,8.49,79,327,378,367,296,184,68,31.3,Survey,WFS,Rwanda 1983 World Fertility Survey,,,,,
Rwanda,646,Around 1995,1991,1989-1992,6.23,60,227,294,270,214,135,46,31.3,Survey,DHS,Rwanda 1992 Demographic and Health Survey,,,,,
Rwanda,646,Around 2005,2003,2002-2005,6.08,42,235,305,273,211,117,32,31.0,Survey,DHS,Rwanda 2005 Demographic and Health Survey,,,,,
Rwanda,646,Latest,2006,2007-2010,4.56,41,189,226,200,148,88,20,30.6,Survey,DHS,Rwanda 2010 Demographic and Health Survey ,,,,,
Saint Kitts and Nevis,659,Around 1970,1970,,5.09,147,255,258,183,136,38,0,27.6,Registration,UNSD,,,,,,
Saint Kitts and Nevis,659,Around 1985,1985,,2.84,95,151,147,89,65,21,0,27.0,Registration,UNSD,,Including Anguilla.,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Kitts and Nevis,659,Around 1995,1995,,2.21,60,127,115,85,49,6,0,27.0,Registration,UNSD,,,,,,
Saint Kitts and Nevis,659,Around 2005,2000,,2.53,86,140,123,80,57,20,0,26.9,Registration,UNSD,,,,,,
Saint Kitts and Nevis,659,Latest,2001,,2.08,74,127,88,83,36,8,0,26.4,Registration,CARICOM,,,,,,
Saint Lucia,662,Around 1970,1970,,6.29,159,324,349,254,134,36,2,27.5,Registration,UN-ECLAC,,,,,,
Saint Lucia,662,Around 1985,1985,,3.97,127,226,205,133,75,27,0,26.8,Registration,UNSD,,,,,,
Saint Lucia,662,Around 1995,1995,,3.01,86,151,144,118,81,19,2,27.7,Registration,UNSD,,,,,,
Saint Lucia,662,Around 2005,2002,,1.84,51,96,84,76,46,14,1,27.7,Registration,CARICOM,,,,,,
Saint Lucia,662,Latest,2004,,1.63,49,75,76,67,42,17,0,28.0,Registration,UNSD,,,,,,
Saint Pierre and Miquelon,666,Around 1970,1969,,3.79,95,200,172,127,98,67,0,28.4,Registration,UNSD,,,Age classification based on year of birth of mother rather than the exact age of mother at birth of child.,Excluding live-born infants who died before their birth was registered.,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Pierre and Miquelon,666,..,1977,,2.01,45,148,92,60,41,15,0,26.9,Registration,UNSD,,,Age classification based on year of birth of mother rather than the exact age of mother at birth of child.,Excluding live-born infants who died before their birth was registered.,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Vincent and the Grenadines,670,Around 1970,1970,,6.11,181,345,286,217,136,52,6,27.3,Registration,UN-ECLAC,,,,,,
Saint Vincent and the Grenadines,670,Around 1985,1986,,2.90,104,173,145,89,48,20,2,26.4,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Vincent and the Grenadines,670,Around 1995,1994,,2.74,94,142,133,105,60,11,2,26.9,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Vincent and the Grenadines,670,Around 2005,2003,,2.11,72,107,97,80,49,15,2,27.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Vincent and the Grenadines,670,Latest,2009,,2.11,70,104,97,82,48,19,1,27.4,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Samoa,882,Around 1970,1970,,7.00,61,300,365,303,240,100,31,30.3,Registration,UNSD,,,,,,
Samoa,882,Around 1985,1981,1980-1981,6.70,39,274,363,311,213,111,30,30.6,Census,National statistics,,,,Adjusted estimate.,,
Samoa,882,Around 1995,1991,,4.76,25,159,241,216,175,98,38,31.7,Census,National statistics,,,,Adjusted estimate.,,
Samoa,882,Around 2005,2001,,4.37,44,202,224,198,141,57,7,29.7,Census,National statistics,,,,,,
Samoa,882,Latest,2006,,4.18,29,177,214,199,141,65,14,30.5,Census,National statistics,,,,,,
San Marino,674,Around 1970,1970,,2.11,29,133,135,79,33,12,0,27.4,Registration,UNSD,,,,,,
San Marino,674,Around 1985,1985,,1.13,12,59,85,48,18,4,0,27.8,Registration,UNSD,,,,,,
San Marino,674,Around 1995,1997,,1.24,3,30,90,87,35,2,0,30.1,Registration,UNSD,,,,,,
San Marino,674,Latest,2004,,1.36,1,16,60,123,62,9,1,32.2,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Sao Tome and Principe,678,Around 1985,1981,,7.23,145,343,330,288,215,111,15,29.2,Census,National statistics,,,,,,
Sao Tome and Principe,678,Around 1995,1991,,5.38,107,262,251,203,152,89,12,29.1,Census,National statistics,,,,,,
Sao Tome and Principe,678,Around 2005,2001,,4.66,91,216,202,185,154,64,20,29.5,Census,National statistics,,,,,,
Sao Tome and Principe,678,Latest,2007,2005-2008,4.90,93,212,210,200,170,87,8,29.7,Survey,DHS,Sao Tome and Principe 2008-2009 Demographic and Health Survey,,,,,
Saudi Arabia,682,Around 1985,1986,1985-1987,6.46,55,236,328,273,251,111,37,31.0,Survey,GCHS,Saudi Arabia 1987 Child Health Survey,Data pertain to nationals only.,,,,
Saudi Arabia,682,Around 1995,1994,1992-1996,6.10,61,224,287,264,195,119,70,31.4,Survey,GFHS,Saudi Arabia 1996 Family Health Survey,Data pertain to nationals only.,,,,
Saudi Arabia,682,..,1999,1998-1999,3.93,28,122,173,175,167,86,34,32.1,Survey,National statistics,Saudi Arabia 1999 Demographic Survey,Data pertain to nationals only.,,,,
Saudi Arabia,682,Around 2005,2004,,3.03,15,66,228,118,98,59,23,31.5,Census,UNSD,,Data pertain to nationals only.,,,,
Saudi Arabia,682,Latest,2006,2006-2007,3.27,7,62,267,125,115,50,28,31.6,Survey,National statistics,Saudi Arabia 2007 Demographic Survey,Data pertain to nationals only.,,,,
Senegal,686,Around 1970,1970,,6.44,165,290,272,228,161,109,63,29.5,Survey,National statistics,Senegal 1970-1971 Enquête démographique,,,,,
Senegal,686,Around 1985,1984,1983-1986,6.38,154,270,271,261,196,89,36,29.4,Survey,DHS,Senegal 1986 Demographic and Health Survey,,,,,
Senegal,686,Around 1995,1995,1994-1997,5.66,103,219,240,245,186,99,41,30.4,Survey,DHS,Senegal 1997 Demographic and Health Survey,,,,,
Senegal,686,Around 2005,2003,2002-2005,5.26,101,212,248,226,169,75,21,29.7,Survey,DHS,Senegal 2005 Demographic and Health Survey,,,,,
Senegal,686,Latest,2009,2008-2011,4.98,93,201,241,219,156,73,13,29.6,Survey,MICS,Senegal  2010-2011 Enquête Démographique et de Santé à Indicateurs Multiples,,,,,
Serbia,688,Around 1970,1970,,2.25,63,165,120,64,28,9,2,26.0,Registration,National statistics,,,,,,
Serbia,688,Around 1985,1985,,2.23,50,163,133,63,27,8,1,26.2,Registration,National statistics,,,,,,
Serbia,688,Around 1995,1997,,1.83,29,134,112,64,24,4,0,26.6,Registration,National statistics,,,,,,
Serbia,688,Around 2005,2005,,1.45,24,82,94,63,23,4,0,27.3,Registration,National statistics,,Excluding data for Kosovo and Metohia.,,,,
Serbia,688,Latest,2011,,1.36,19,61,87,71,30,5,0,28.4,Registration,National statistics,,Excluding data for Kosovo and Metohia.,,,,
Seychelles,690,Around 1970,1970,,5.55,81,257,281,233,168,86,5,29.4,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Seychelles,690,Around 1985,1985,,3.25,74,181,175,124,73,22,0,27.6,Registration,UNSD,,,,,,
Seychelles,690,Around 1995,1995,,2.35,59,149,119,89,45,9,0,26.9,Registration,National statistics,,,,,,
Seychelles,690,Around 2005,2005,,2.21,59,118,114,83,52,13,1,27.4,Registration,National statistics,,,,,,
Seychelles,690,Latest,2011,,2.54,78,124,123,110,55,19,..,27.5,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Sierra Leone,694,Around 1970,1973,,6.51,212,296,280,210,169,81,54,28.6,Census,National statistics,,,,,,
Sierra Leone,694,Around 1985,1985,,6.25,200,280,270,210,160,80,50,28.7,Census,National statistics,,,,Adjusted estimate.,,
Sierra Leone,694,Around 1995,1992,1991-1992,6.60,178,302,325,252,152,54,58,28.6,Survey,National statistics,Sierra Leone 1992 Demographic and Social Situation,,,,,
Sierra Leone,694,Around 2005,2004,,6.10,136,258,266,231,186,89,54,29.8,Census,National statistics,,,,Adjusted estimate.,,
Sierra Leone,694,Latest,2006,2005-2008,5.12,146,222,217,187,145,71,36,29.1,Survey,DHS,Sierra Leone 2008 Demographic and Health Survey,,,,,
Singapore,702,Around 1970,1970,,3.10,26,139,210,138,75,27,5,29.1,Registration,UNSD,,,,,,
Singapore,702,Around 1985,1985,,1.62,10,67,125,87,31,4,0,28.7,Registration,UNSD,,,,,,
Singapore,702,Around 1995,1995,,1.77,7,48,133,115,44,7,0,29.8,Registration,UNSD,,,,,,
Singapore,702,Around 2005,2005,,1.25,7,32,81,88,36,6,0,30.1,Registration,National statistics,,,,,,
Singapore,702,Latest,2010,,1.27,5,25,75,95,48,7,0,31.0,Registration,UNSD,,Data pertain to resident population only.,,,,
Slovakia,703,Around 1970,1970,,2.40,39,195,137,70,30,8,1,26.3,Registration,Eurostat,,,,,,
Slovakia,703,Around 1985,1988,,2.11,47,192,116,48,16,3,0,25.2,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Slovakia,703,Around 1995,1995,,1.51,32,125,89,40,14,3,0,25.6,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Slovakia,703,Around 2005,2005,,1.26,20,61,88,59,21,4,0,27.7,Registration,UNSD,,,,,,
Slovakia,703,Latest,2010,,1.38,22,52,86,78,33,6,0,28.7,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Slovenia,705,Around 1970,1970,,2.12,42,152,112,70,33,10,1,26.7,Registration,UNSD,,,,,,
Slovenia,705,Around 1985,1985,,1.77,42,152,100,42,16,4,0,25.4,Registration,National statistics,,,,,,
Slovenia,705,Around 1995,1995,,1.29,13,82,97,48,15,2,0,27.0,Registration,UNSD,,,,,,
Slovenia,705,Around 2005,2005,,1.26,6,40,96,79,26,4,0,29.3,Registration,UNSD,,,,,,
Slovenia,705,Latest,2010,,1.57,5,42,112,108,42,6,0,30.0,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Solomon Islands,90,Around 1970,1973,1972-1974,7.42,146,296,328,305,225,141,42,30.1,Census,National statistics,,,,,,
Solomon Islands,90,Around 1985,1985,1984-1986,6.07,101,280,295,252,177,84,25,29.5,Census,National statistics,,,,,,
Solomon Islands,90,Around 1995,1998,1997-1999,4.77,69,229,252,208,130,49,16,29.2,Census,SPC,,,,,,
Solomon Islands,90,..,1999,1998-1999,4.45,80,201,229,190,123,49,18,29.2,Census,National statistics,,,,,,
Solomon Islands,90,Latest,2004,2002-2007,4.50,70,209,240,195,112,53,22,29.3,Survey,DHS,Solomon Islands 2006-2007 Demographic and Health Survey,,,,,
Somalia,706,Around 1970,1975,,6.98,58,248,321,293,256,132,89,31.8,Census,National statistics,,,,,,
Somalia,706,Around 1985,1982,1981-1982,7.29,100,264,335,282,236,151,89,31.3,Survey,National statistics,Somalia 1982 Labor Force Survey,,,,,
Somalia,706,Around 1995,1996,1994-1997,7.35,134,295,317,297,250,176,..,30.1,Survey,MICS,Somalia 2006 Multiple Indicator Cluster Survey,,,Data pertain to the period of 9 to 11 years before the survey.,,
Somalia,706,Around 2005,2002,2000-2003,8.24,143,326,364,297,262,147,109,30.8,Survey,MICS,Somalia 2006 Multiple Indicator Cluster Survey,,,Data pertain to the period of 3 to 5 years before the survey.,,
Somalia,706,Latest,2005,2003-2006,6.67,123,281,306,262,189,123,49,30.0,Survey,MICS,Somalia 2006 Multiple Indicator Cluster Survey,,,,,
South Africa,710,Around 1970,1970,,4.94,60,225,248,200,141,74,39,30.1,Estimate,National statistics,,,,,,
South Africa,710,Around 1985,1987,1985-1988,4.58,124,223,196,164,125,60,23,28.7,Survey,National statistics,South Africa 1987-1989 Demographic and Health Survey (national),,,,,
South Africa,710,Around 1995,1996,1995-1998,2.90,76,139,143,109,74,29,9,28.3,Survey,DHS,South Africa 1998 Demographic and Health Survey,,,,,
South Africa,710,Around 2005,2001,,2.88,66,127,144,121,76,31,10,28.8,Census,National statistics,,,,,,
South Africa,710,Latest,2006,,2.50,54,119,122,103,68,27,7,28.7,Survey,National statistics,South Africa 2007 Community Survey,,,,,
South Sudan,728,Latest,2008,,3.83,38,135,186,156,130,73,48,31.5,Census,National statistics,,Data pertain to pre-secession Southern Sudan.,,,,
Spain,724,Around 1970,1970,,2.82,14,122,193,128,77,26,3,29.5,Registration,UNSD,,,,,,
Spain,724,Around 1985,1985,,1.63,18,72,116,75,34,10,1,28.5,Registration,National statistics,,,,,,
Spain,724,Around 1995,1995,,1.18,8,28,80,84,31,5,0,30.0,Registration,UNSD,,,,,,
Spain,724,Around 2005,2005,,1.35,11,31,64,100,53,9,0,30.9,Registration,UNSD,,,,,,
Spain,724,Latest,2010,,1.39,11,35,62,96,62,12,1,31.2,Registration,UNSD,,,,,,
Sri Lanka,144,Around 1970,1970,,4.22,38,172,238,219,134,38,6,29.7,Registration,National statistics,,,,,,
Sri Lanka,144,Around 1985,1985,1984-1987,2.68,32,140,160,112,67,22,3,28.6,Survey,DHS,Sri Lanka 1987 Demographic and Health Survey,,,,,
Sri Lanka,144,Around 1995,1998,1995-2000,1.88,27,83,118,98,40,8,1,28.4,Survey,National statistics,Sri Lanka 2000 Demographic and Health Survey (national),,,,,
Sri Lanka,144,Around 2005,2005,2003-2006,2.36,28,103,147,122,57,14,1,28.8,Survey,DHS,Sri Lanka 2006-2007 Demographic and Health Survey,,,,,
Sri Lanka,144,Latest,2006,,2.29,24,91,142,120,63,17,2,29.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
State of Palestine,275,Around 1970,1970,,7.47,54,242,340,343,330,129,56,31.7,Registration,National statistics,,,,,,
State of Palestine,275,Around 1985,1988,1985-1990,6.47,101,294,324,285,202,74,15,29.3,Survey,National statistics,State of Palestine 1995 Demographic Survey,,,Data pertain to the period of 5 to 9 years before the survey.,,
State of Palestine,275,Around 1995,1993,1990-1995,6.38,118,305,311,272,190,73,6,28.9,Survey,National statistics,State of Palestine 1995 Demographic Survey,,,,,
State of Palestine,275,..,1998,1997-1999,4.94,88,248,247,206,144,50,4,28.7,Survey,National statistics,State of Palestine 2000 Health Survey,,,,,
State of Palestine,275,Latest,2006,,4.68,60,233,248,204,133,50,8,29.1,Survey,PAPFAM,State of Palestine 2006 Family Health Survey,,,,,
Sudan,729,..,1976,1974-1979,6.16,118,265,268,252,151,107,70,30.2,Survey,WFS,Sudan 1978-1979 World Fertility Survey,Data pertain to pre-secession Northern Sudan.,,,,
Sudan,729,Around 1985,1988,1987-1990,4.68,65,176,233,220,145,75,21,30.2,Survey,DHS,Sudan 1989-1990 Demographic and Health Survey,Data pertain to pre-secession Northern Sudan.,,,,
Sudan,729,..,1991,1990-1993,4.55,51,169,214,212,161,66,37,30.8,Survey,PAPCHILD,Sudan 1992-1993 Maternal and Child Health Survey,Data pertain to pre-secession Northern Sudan.,,,,
Sudan,729,Around 1995,1996,1994-1999,4.92,72,187,233,227,158,77,31,30.4,Survey,MICS,Sudan 1999 National Safe Motherhood Survey,Data pertain to pre-secession Northern Sudan.,,,,
Sudan,729,Latest,2008,,3.92,49,144,194,173,134,61,29,30.7,Census,National statistics,,Data pertain to pre-secession Northern Sudan.,,,,
Suriname,740,Around 1970,1970,,5.51,111,304,286,203,134,64,..,28.1,Registration,National statistics,,,,,,
Suriname,740,Around 1985,1986,,3.07,83,188,172,104,50,15,1,26.7,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Suriname,740,Around 1995,1995,,2.37,75,150,120,70,43,13,3,26.5,Registration,UNSD,,,,,,
Suriname,740,Around 2005,2005,,2.14,59,112,117,81,46,11,2,27.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Suriname,740,Latest,2007,,2.37,66,131,122,89,52,15,1,27.3,Registration,UNSD,,,,,,
Swaziland,748,Around 1970,1966,,6.91,120,290,295,267,203,127,79,30.5,Census,National statistics,,,,Adjusted estimate.,,
Swaziland,748,Around 1985,1986,1983-1988,4.96,129,224,211,198,129,67,33,29.0,Survey,National statistics,Swaziland 1988 CDC survey,,,,,
Swaziland,748,Around 1995,1997,,4.37,73,193,199,163,131,65,50,30.2,Census,UNSD,,,,,,
Swaziland,748,Around 2005,2005,2003-2006,3.85,111,203,164,159,99,30,4,27.7,Survey,DHS,Swaziland 2006-2007 Demographic and Health Survey,,,,,
Swaziland,748,Latest,2009,2007-2010,3.68,89,205,156,132,98,50,5,28.3,Survey,MICS,Swaziland 2010 Multiple Indicator Cluster Survey,,,,,
Sweden,752,Around 1970,1970,,1.94,34,120,129,70,27,6,0,26.9,Registration,UNSD,,,,,,
Sweden,752,Around 1985,1985,,1.73,11,81,132,86,31,5,0,28.4,Registration,UNSD,,,,,,
Sweden,752,Around 1995,1995,,1.74,9,67,127,98,41,7,0,29.2,Registration,UNSD,,,,,,
Sweden,752,Around 2005,2005,,1.77,6,47,110,125,55,11,0,30.5,Registration,UNSD,,,,,,
Sweden,752,Latest,2010,,1.98,6,50,120,137,69,13,1,30.7,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Switzerland,756,Around 1970,1970,,2.09,23,125,137,83,38,10,1,27.8,Registration,UNSD,,,,,,
Switzerland,756,Around 1985,1985,,1.51,7,66,126,78,22,3,0,28.4,Registration,UNSD,,,,Adjusted estimate.,,
Switzerland,756,Around 1995,1995,,1.50,6,52,113,94,33,5,0,29.3,Registration,UNSD,,,,,,
Switzerland,756,Around 2005,2005,,1.42,5,38,85,99,47,8,0,30.5,Registration,UNSD,,,,,,
Switzerland,756,Latest,2010,,1.57,4,35,87,117,60,11,1,31.1,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Syrian Arab Republic,760,Around 1970,1970,,7.68,83,357,389,335,236,123,12,29.8,Census,National statistics,,,,,,
Syrian Arab Republic,760,Around 1985,1985,1983-1987,5.66,105,241,283,235,158,84,25,29.5,Survey,PAPCHILD,Syrian Arab Republic 1987 Maternal and Child Health Survey,,,,,
Syrian Arab Republic,760,Around 1995,1999,1996-2001,3.84,58,165,189,177,121,42,17,29.7,Survey,PAPFAM,Syrian Arab Republic 2001 Family Health Survey,,,,,
Syrian Arab Republic,760,Around 2005,2004,,3.58,75,136,175,155,110,49,16,29.6,Census,National statistics,,,,,,
Syrian Arab Republic,760,Latest,2008,2006-2009,3.47,54,156,187,159,99,34,5,29.0,Survey,National statistics,Syrian Arab Republic 2009-2010 Family Health Survey ,Data pertain to nationals of the country.,,,,
Tajikistan,762,Around 1970,1970,1969-1970,5.90,40,261,268,251,216,109,36,30.9,Registration,National statistics,,,,,,
Tajikistan,762,Around 1985,1985,1984-1985,5.49,37,307,305,224,150,62,13,29.2,Registration,National statistics,,,,,,
Tajikistan,762,Around 1995,1994,,3.62,57,240,192,134,70,26,5,27.6,Registration,UNSD,,,,,,
Tajikistan,762,Around 2005,2002,2000-2003,3.93,46,240,215,152,83,50,..,28.4,Survey,LSMS,Tajikistan 2003 Living Standards Measurement Survey,,,,,
Tajikistan,762,Latest,2005,2004-2005,3.07,27,197,192,118,60,13,4,27.8,Survey,MICS,Tajikistan 2000 Multiple Indicator Cluster Survey,,,,,
Thailand,764,Around 1970,1969,1968-1970,6.11,72,256,286,229,198,152,29,30.8,Survey,National statistics,"Thailand 1969-1970 Longitudinal Study of Social, Economic and Demographic Change",,,,,
Thailand,764,Around 1985,1985,1984-1987,2.24,53,125,128,73,46,20,3,27.6,Survey,DHS,Thailand 1987 Demographic and Health Survey,,,,,
Thailand,764,Around 1995,1996,1995-1996,2.02,54,126,107,68,36,11,3,26.9,Survey,National statistics,Thailand 1995-1996 Survey of Population Change,,,,,
Thailand,764,Around 2005,2005,,1.49,43,79,83,58,27,7,1,27.0,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Thailand,764,Latest,2009,,1.43,47,71,77,57,27,7,0,26.9,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
The former Yugoslav Republic of Macedonia,807,Around 1970,1970,,2.95,41,194,183,104,49,16,3,27.4,Registration,Eurostat,,,,,,
The former Yugoslav Republic of Macedonia,807,Around 1985,1985,,2.31,48,179,145,65,22,6,1,25.9,Registration,National statistics,,,,,,
The former Yugoslav Republic of Macedonia,807,Around 1995,1995,,2.13,44,157,140,62,18,4,0,25.9,Registration,UNSD,,,,,,
The former Yugoslav Republic of Macedonia,807,Around 2005,2005,,1.33,20,75,96,55,17,3,0,27.2,Registration,UNSD,,,,,,
The former Yugoslav Republic of Macedonia,807,Latest,2010,,1.55,20,78,108,73,27,4,0,27.9,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Timor-Leste,626,Around 1970,1972,,5.10,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Timor-Leste,626,Around 1985,1985,,4.56,..,..,..,..,..,..,..,..,Survey,National statistics,Timor-Leste 1985 Intercensal Survey,,,,,
Timor-Leste,626,Around 1995,1993,1991-1994,4.68,49,213,243,212,153,51,16,29.8,Survey,DHS,Indonesia 1994 Demographic and Health Survey,Data pertain to East Timor province.,,,,
Timor-Leste,626,Around 2005,2001,2000-2003,7.77,78,322,362,329,260,138,66,30.9,Survey,National statistics,Timor-Leste 2003 Demographic and Health Survey (national),,,,,
Timor-Leste,626,Latest,2008,2006-2009,5.67,51,221,276,254,197,89,46,30.9,Survey,DHS,Timor-Leste 2009-2010 Demographic and Health Survey,,,,,
Togo,768,Around 1970,1970,,6.64,122,292,288,245,194,117,71,30.3,Census,UNSD,,,,,,
Togo,768,Around 1985,1987,1985-1988,6.44,131,263,276,234,214,106,64,30.3,Survey,DHS,Togo 1988 Demographic and Health Survey,,,,,
Togo,768,Around 1995,1996,1995-1998,5.20,89,214,246,207,166,82,37,30.1,Survey,DHS,Togo 1998 Demographic and Health Survey,,,,,
Togo,768,Latest,2009,2009-2010,4.80,88,..,..,..,..,..,..,..,Survey,MICS,Togo 2010 Multiple Indicator Cluster Survey,,,,,
Tokelau,772,Around 1970,1970,,5.10,..,..,..,..,..,..,..,..,Estimate,National statistics,,,,,,
Tokelau,772,Around 1985,1986,1985-1986,3.72,40,183,219,181,67,55,0,29.0,Census,National statistics,,,,,,
Tokelau,772,Around 1995,1994,1991-1996,5.67,82,..,..,..,..,..,..,..,Census,SPC,,,,,,
Tokelau,772,..,1999,1997-2001,4.90,45,..,..,..,..,..,..,..,Census,SPC,,,,,,
Tonga,776,Around 1970,1969,1967-1971,6.16,41,232,316,283,213,114,32,31.0,Census,National statistics,,,,Estimates based on the own-children method.,,
Tonga,776,Around 1985,1986,,5.20,28,187,290,264,182,74,15,30.7,Census,National statistics,,,,,,
Tonga,776,Around 1995,1996,,4.16,17,160,239,209,139,59,8,30.5,Census,National statistics,,,,,,
Tonga,776,Around 2005,2003,,3.88,17,125,221,214,149,46,5,30.8,Registration,National statistics,,,,,,
Tonga,776,Latest,2006,,3.76,16,123,188,197,154,55,18,31.4,Census,National statistics,,,,,,
Trinidad and Tobago,780,Around 1970,1971,,3.63,85,200,194,132,83,28,4,27.7,Registration,National statistics,,,,,,
Trinidad and Tobago,780,Around 1985,1985,,3.20,79,180,171,122,69,18,2,27.4,Registration,UNSD,,,,,,
Trinidad and Tobago,780,Around 1995,1995,,1.81,44,106,92,74,36,9,1,27.2,Registration,UNSD,,,,,,
Trinidad and Tobago,780,Around 2005,2002,,1.62,35,96,91,63,32,8,0,27.3,Registration,CARICOM,,,,,,
